Barcode	Description	UnitRRP	Category	CategoryID	CategoryFullNodeList
9770025641113	Meat Trades Journal	295	664	::News/Mags::Magazines::Trade & Professional::Catering
9770025641120	Mtj	310	664	::News/Mags::Magazines::Trade & Professional::Catering
9770026408197	Military Modelling	460	545	::News/Mags::Magazines::Leisure Interests::Modelling
9770026734036	Model Railroader	340	545	::News/Mags::Magazines::Leisure Interests::Modelling
9770027185257	Mcn	220	581	::News/Mags::Magazines::Motorcycling::General
9770027201179	Motor Sport	495	592	::News/Mags::Magazines::Motoring::Sporting
9770027201186	Motor Sport	499	592	::News/Mags::Magazines::Motoring::Sporting
9770027935111	National Geographic	399	610	::News/Mags::Magazines::News & Current Affairs::Science
9770027935128	National Geographic Magazine	450	610	::News/Mags::Magazines::News & Current Affairs::Science
9770027935135	National Geographic	499	610	::News/Mags::Magazines::News & Current Affairs::Science
9770027935999	National Geogrophic	550	610	::News/Mags::Magazines::News & Current Affairs::Science
9770028636307	Nme	250	603	::News/Mags::Magazines::Music::Rock
9770028636949	Nme	280	603	::News/Mags::Magazines::Music::Rock
9770029657103	Nursing Standard	165	670	::News/Mags::Magazines::Trade & Professional::Health & Medicine
9770029657110	Nursing Standard	170	670	::News/Mags::Magazines::Trade & Professional::Health & Medicine
9770029657127	Nursing Standard	185	670	::News/Mags::Magazines::Trade & Professional::Health & Medicine
9770029771120	Observer (The)	100	691	::News/Mags::News::National
9770029771625	The Observer	340	691	::News/Mags::News::National
9770029771823	Observer (The)	160	691	::News/Mags::News::National
9770029771922	The Observer	270	691	::News/Mags::News::National
9770030352165	Opera	560	595	::News/Mags::Magazines::Music::Classical
9770032147073	Playboy	475	572	::News/Mags::Magazines::Magazines: Adult::Top Shelf General
9770032147080	Playboy Mag	499	572	::News/Mags::Magazines::Magazines: Adult::Top Shelf General
9770032200006	Prevention	199	685	::News/Mags::Magazines::Womens Interest::Womens Health & Beauty
9770032200037	Prevention 	250	685	::News/Mags::Magazines::Womens Interest::Womens Health & Beauty
9770032350008	Polityka	239	500	::News/Mags::Magazines::Foreign Language::Eastern Europe
